item_id,type_id,item_name,size,description,weight,volume,sort,tax,tax_price,price,discount,icon,brand,icon,expire_time,amount
57,4,Swisse 高浓度西芹籽胶囊 50片 Swisse Celery Capsules,50片,,1000,100,0,0,14,14.95,0,http://52.63.10.86:8080/image/swisse_celery.jpg,Swisse,http://52.63.10.86:8080/image/swisse_celery.jpg,0,1000
58,4,Swisse儿童补脑鱼油胶囊 甜橙味 90片 Swisse Children's Smart Fish Oil Capsules,90片,,1000,100,0,0,11.95,11.95,0,http://52.63.10.86:8080/image/Swisse_children_fishoil.jpg,Swisse,http://52.63.10.86:8080/image/Swisse_children_fishoil.jpg,0,99
59,4,Swisse叶绿素片 200片 Swisse Chlorophyll Tablets,200片,,1000,100,0,0,33,34.95,0,http://52.63.10.86:8080/image/swisse_high_strength_chlorophyll.jpg,Swisse,http://52.63.10.86:8080/image/swisse_high_strength_chlorophyll.jpg,0,98
60,4,Swisse护心宝Q10辅酶胶囊 50片 Swisse Co-enzyme Q10 150mg,50片,,1000,100,0,0,22.95,22.95,0,http://52.63.10.86:8080/image/Swisse_Q10.jpg,Swisse,http://52.63.10.86:8080/image/Swisse_Q10.jpg,0,100
61,4,Swisse维骨力片 180片 Swisse Glucosamine 1500mg Tablets,180片,,1000,100,0,0,34.95,34.95,0,http://52.63.10.86:8080/image/swisse_glucosamine.jpg,Swisse,http://52.63.10.86:8080/image/swisse_glucosamine.jpg,0,100
62,4,Swisse清肺灵 90粒 Swisse Lung Health Support Tablets,90粒,,1000,100,0,0,29.95,29.95,0,http://52.63.10.86:8080/image/Swisse_lunghealth.jpg,Swisse,http://52.63.10.86:8080/image/Swisse_lunghealth.jpg,0,96
63,4,Swisse中老年男性复合维生素片 50岁以上 90粒 Swisse Men's Ultivite 50+ Tablets,90粒,,1000,100,0,0,39.95,39.95,0,http://52.63.10.86:8080/image/Swisse-Mens-Ultivite50-Tablets.jpg,Swisse,http://52.63.10.86:8080/image/Swisse-Mens-Ultivite50-Tablets.jpg,0,100
64,4,Swisse野生无腥鱼油胶囊 400粒 Swisse Odourless Wild Fish Oil 1500mg,400粒,,1000,100,0,0,19.95,19.95,0,http://52.63.10.86:8080/image/swisse_wild_fish_oil.jpg,Swisse,http://52.63.10.86:8080/image/swisse_wild_fish_oil.jpg,0,95
65,4,Swisse有机螺旋藻片 100片 Swisse Organnic Spirulina Tablets,100片,,1000,100,0,0,12.95,12.95,0,http://52.63.10.86:8080/image/swisse_organic_spirulina.jpg,Swisse,http://52.63.10.86:8080/image/swisse_organic_spirulina.jpg,0,98
66,4,Swisse中老年女性复合维生素片 50岁以上 90粒 Swisse Women's Ultivite 50+ Tablets,90粒,,1000,100,0,0,39.95,39.95,0,http://52.63.10.86:8080/image/swisse-women-ultivite-50.jpg,Swisse,http://52.63.10.86:8080/image/swisse-women-ultivite-50.jpg,0,98
67,4,Swisse补锌片 60粒 Swisse Zinc + Tablets,60粒,,1000,100,0,0,11.95,11.95,0,http://52.63.10.86:8080/image/swisse_zinc.jpg,Swisse,http://52.63.10.86:8080/image/swisse_zinc.jpg,0,100
68,5,Blackmores 月见草 190粒 Blackmore Evening Primrose Oil Capsules,190粒,,1000,100,1,1.6,15.5,16,1,http://52.63.10.86:8080/image/Blackmores_Evening_Primrose_Oil.jpg,Blackmores,http://52.63.10.86:8080/image/Blackmores_Evening_Primrose_Oil.jpg,15-05-16,9590
69,5,Blackmores 孕妇黄金素 180粒 Blackmore Pregnancy & Breastfeeding Gold Capsules,180粒,,1000,100,1,2.9,28,28,1,http://52.63.10.86:8080/image/Blackmores_Pregnancy_Breastfeeding_Gold.jpg,Blackmores,http://52.63.10.86:8080/image/Blackmores_Pregnancy_Breastfeeding_Gold.jpg,15-05-16,745
70,5,Blackmores 西芹籽 50粒 Blackmores Celery,50粒,,1000,100,1,0.99,8.5,9,1,http://52.63.10.86:8080/image/Blackmores_Celery.jpg,Blackmores,http://52.63.10.86:8080/image/Blackmores_Celery.jpg,15-05-16,9681
71,5,Blackmores 血糖平衡片 90粒 Blackmores Sugar Balance Tablets,90粒,,1000,100,1,1.1,11,12,1,http://52.63.10.86:8080/image/Blackmores_Sugar_Balance.jpg,Blackmores,http://52.63.10.86:8080/image/Blackmores_Sugar_Balance.jpg,15-05-16,104
72,5,Blackmores VE面霜 50g Blackmores Vitamin E Cream,50g,,1000,100,1,3.8,7.5,7.5,1,http://52.63.10.86:8080/image/Blackmores_Vitamin_E_Cream.jpg,Blackmores,http://52.63.10.86:8080/image/Blackmores_Vitamin_E_Cream.jpg,15-05-16,4906
73,5,Blackmores 圣洁莓 40粒 Blackmores Vitex Agnus-Castus Tablets,40粒,,1000,100,1,1,11.69,12,1,http://52.63.10.86:8080/image/Blackmres_Vitex_Angus_Castus.jpg,Blackmores,http://52.63.10.86:8080/image/Blackmres_Vitex_Angus_Castus.jpg,15-05-16,22
74,5,Blackmores 无腥鱼油 400粒 Blackmore Fish Oil Odourless,400粒,,1000,100,1,1.8,20,20.95,0,http://52.63.10.86:8080/image/Blackmores_Fish_Oil_Odourles.jpg,Blackmores,http://52.63.10.86:8080/image/Blackmores_Fish_Oil_Odourles.jpg,0,95
75,5,Blackmores 备孕黄金素 56粒 Blackmores Conceive Well Gold,28+28,,1000,100,1,1.99,26.5,26.95,0,http://52.63.10.86:8080/image/Blackmores_conceive_well.jpg,Blackmores,http://52.63.10.86:8080/image/Blackmores_conceive_well.jpg,0,95
76,5,Blackmores 护心室Q10辅酶片 30粒 Blackmores CoQ10 150mg Capsules,30粒,,1000,100,1,1.3,22,22,0,http://52.63.10.86:8080/image/Blackmores_Q10.jpg,Blackmores,http://52.63.10.86:8080/image/Blackmores_Q10.jpg,0,98
77,5,Blackmores 增强型关节灵片 120粒 Blackmores Joint Formula Advanced Tablets,120粒,,1000,100,1,3.8,34.95,36,0,http://52.63.10.86:8080/image/Blackmores_Joint_Formula_Advanced.jpg,Blackmores,http://52.63.10.86:8080/image/Blackmores_Joint_Formula_Advanced.jpg,0,89
78,5,Blackmores 维生素C咀嚼片 200片 Blackmores Bio C Chewable 500mg Tablets,200片,,1000,100,0,0,23.95,23.95,0,http://52.63.10.86:8080/image/Blackmores_Bio_C_chewable.jpg,Blackmores,http://52.63.10.86:8080/image/Blackmores_Bio_C_chewable.jpg,0,100
79,5,Blackmores 护心宝Q10辅酶片 90粒 Blackmores CoQ10 75mg Capsules,90粒,,1000,100,0,0,22.5,22.5,0,http://52.63.10.86:8080/image/Blackmores-CoQ10-75mg-90-Capsules.jpg,Blackmores,http://52.63.10.86:8080/image/Blackmores-CoQ10-75mg-90-Capsules.jpg,0,100
80,5,Blackmores 深海鱼油胶囊 400粒 Blackmores Fish Oil 1000mg Capsules,400粒,,1000,100,0,0,18.95,18.95,0,http://52.63.10.86:8080/image/Blackmores-Fish-Oil-1000mg-400-Capsules.jpg,Blackmores,http://52.63.10.86:8080/image/Blackmores-Fish-Oil-1000mg-400-Capsules.jpg,0,96
81,5,Blackmores 三倍浓缩鱼油胶囊 150粒 Blackmores Omega Triple Concentrated Fish Oil Caps,150粒,,1000,100,0,0,30.95,30.95,0,http://52.63.10.86:8080/image/Blackmores-Omega-Triple-Concentration-Fish-Oil-150-Capsules.jpg,Blackmores,http://52.63.10.86:8080/image/Blackmores-Omega-Triple-Concentration-Fish-Oil-150-Capsules.jpg,0,85
82,6,LifeSpace 60+老人益生菌 60粒 LifeSpace 60+ Probiotic Broad Spectrum,60粒,,1000,100,1,3.1,29.5,29.95,0,http://52.63.10.86:8080/image/LifeSpace_60_Probiotic.jpg,Lifespace,http://52.63.10.86:8080/image/LifeSpace_60_Probiotic.jpg,0,99
83,6,LifeSpace 宝宝益生菌粉 0-3岁 60g LifeSpace Baby Probiotic Powder,30粒,,1000,100,1,1.5,19.5,19.95,0,http://52.63.10.86:8080/image/LifeSpace_Baby_Probiotic.jpg,Lifespace,http://52.63.10.86:8080/image/LifeSpace_Baby_Probiotic.jpg,0,115
